2025-01-07 11:45:03.814850 - INFO - Starting Kafka consumer script.
2025-01-07 11:45:04.500738 - INFO - Inserted to MongoDB: {'user_id': 69, 'activity': 'purchase', 'timestamp': '2025-01-07 09:40:52', '_id': ObjectId('677cf7a0b3cbcf303db42656')}
2025-01-07 11:45:04.595709 - INFO - Inserted to MongoDB: {'user_id': 60, 'activity': 'view_item', 'timestamp': '2025-01-07 09:40:55', '_id': ObjectId('677cf7a0b3cbcf303db42657')}
2025-01-07 11:45:04.603717 - INFO - Inserted to MongoDB: {'user_id': 60, 'activity': 'purchase', 'timestamp': '2025-01-07 09:40:57', '_id': ObjectId('677cf7a0b3cbcf303db42658')}
2025-01-07 11:45:04.609725 - INFO - Inserted to MongoDB: {'user_id': 11, 'activity': 'logout', 'timestamp': '2025-01-07 09:40:59', '_id': ObjectId('677cf7a0b3cbcf303db42659')}
2025-01-07 11:45:04.636714 - INFO - Inserted to MongoDB: {'user_id': 88, 'activity': 'view_item', 'timestamp': '2025-01-07 09:41:01', '_id': ObjectId('677cf7a0b3cbcf303db4265a')}
2025-01-07 11:45:04.676696 - INFO - Inserted to MongoDB: {'user_id': 41, 'activity': 'logout', 'timestamp': '2025-01-07 09:41:03', '_id': ObjectId('677cf7a0b3cbcf303db4265b')}
2025-01-07 11:45:04.688694 - INFO - Inserted to MongoDB: {'user_id': 4, 'activity': 'view_item', 'timestamp': '2025-01-07 09:44:55', '_id': ObjectId('677cf7a0b3cbcf303db4265c')}
2025-01-07 11:45:04.705704 - INFO - Inserted to MongoDB: {'user_id': 40, 'activity': 'purchase', 'timestamp': '2025-01-07 09:44:57', '_id': ObjectId('677cf7a0b3cbcf303db4265d')}
2025-01-07 11:45:04.716701 - INFO - Inserted to MongoDB: {'user_id': 25, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:44:59', '_id': ObjectId('677cf7a0b3cbcf303db4265e')}
2025-01-07 11:45:04.739725 - INFO - Inserted to MongoDB: {'user_id': 35, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:01', '_id': ObjectId('677cf7a0b3cbcf303db4265f')}
2025-01-07 11:45:04.753695 - INFO - Inserted to MongoDB: {'user_id': 33, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:03', '_id': ObjectId('677cf7a0b3cbcf303db42660')}
2025-01-07 11:45:05.533445 - INFO - Inserted to MongoDB: {'user_id': 9, 'activity': 'purchase', 'timestamp': '2025-01-07 09:45:05', '_id': ObjectId('677cf7a1b3cbcf303db42661')}
2025-01-07 11:45:07.566315 - INFO - Inserted to MongoDB: {'user_id': 65, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:07', '_id': ObjectId('677cf7a3b3cbcf303db42662')}
2025-01-07 11:45:09.619973 - INFO - Inserted to MongoDB: {'user_id': 10, 'activity': 'logout', 'timestamp': '2025-01-07 09:45:09', '_id': ObjectId('677cf7a5b3cbcf303db42663')}
2025-01-07 11:45:11.655691 - INFO - Inserted to MongoDB: {'user_id': 26, 'activity': 'logout', 'timestamp': '2025-01-07 09:45:11', '_id': ObjectId('677cf7a7b3cbcf303db42664')}
2025-01-07 11:45:13.688484 - INFO - Inserted to MongoDB: {'user_id': 54, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:13', '_id': ObjectId('677cf7a9b3cbcf303db42665')}
2025-01-07 11:45:15.721900 - INFO - Inserted to MongoDB: {'user_id': 100, 'activity': 'purchase', 'timestamp': '2025-01-07 09:45:15', '_id': ObjectId('677cf7abb3cbcf303db42666')}
2025-01-07 11:45:17.764420 - INFO - Inserted to MongoDB: {'user_id': 3, 'activity': 'login', 'timestamp': '2025-01-07 09:45:17', '_id': ObjectId('677cf7adb3cbcf303db42667')}
2025-01-07 11:45:19.880347 - INFO - Inserted to MongoDB: {'user_id': 83, 'activity': 'purchase', 'timestamp': '2025-01-07 09:45:19', '_id': ObjectId('677cf7afb3cbcf303db42668')}
2025-01-07 11:45:22.140934 - INFO - Inserted to MongoDB: {'user_id': 96, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:22', '_id': ObjectId('677cf7b2b3cbcf303db42669')}
2025-01-07 11:45:24.184590 - INFO - Inserted to MongoDB: {'user_id': 45, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:24', '_id': ObjectId('677cf7b4b3cbcf303db4266a')}
2025-01-07 11:45:26.243391 - INFO - Inserted to MongoDB: {'user_id': 57, 'activity': 'logout', 'timestamp': '2025-01-07 09:45:26', '_id': ObjectId('677cf7b6b3cbcf303db4266b')}
2025-01-07 11:45:29.328856 - INFO - Inserted to MongoDB: {'user_id': 33, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:28', '_id': ObjectId('677cf7b9b3cbcf303db4266c')}
2025-01-07 11:45:31.843348 - INFO - Inserted to MongoDB: {'user_id': 43, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:31', '_id': ObjectId('677cf7bbb3cbcf303db4266d')}
2025-01-07 11:45:34.083228 - INFO - Inserted to MongoDB: {'user_id': 41, 'activity': 'purchase', 'timestamp': '2025-01-07 09:45:34', '_id': ObjectId('677cf7beb3cbcf303db4266e')}
2025-01-07 11:45:36.237893 - INFO - Inserted to MongoDB: {'user_id': 13, 'activity': 'logout', 'timestamp': '2025-01-07 09:45:36', '_id': ObjectId('677cf7c0b3cbcf303db4266f')}
2025-01-07 11:45:38.380488 - INFO - Inserted to MongoDB: {'user_id': 15, 'activity': 'login', 'timestamp': '2025-01-07 09:45:38', '_id': ObjectId('677cf7c2b3cbcf303db42670')}
2025-01-07 11:45:40.473117 - INFO - Inserted to MongoDB: {'user_id': 98, 'activity': 'login', 'timestamp': '2025-01-07 09:45:40', '_id': ObjectId('677cf7c4b3cbcf303db42671')}
2025-01-07 11:45:42.505999 - INFO - Inserted to MongoDB: {'user_id': 79, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:42', '_id': ObjectId('677cf7c6b3cbcf303db42672')}
2025-01-07 11:45:44.524897 - INFO - Inserted to MongoDB: {'user_id': 93, 'activity': 'purchase', 'timestamp': '2025-01-07 09:45:44', '_id': ObjectId('677cf7c8b3cbcf303db42673')}
2025-01-07 11:45:46.552579 - INFO - Inserted to MongoDB: {'user_id': 32, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:46', '_id': ObjectId('677cf7cab3cbcf303db42674')}
2025-01-07 11:45:48.580373 - INFO - Inserted to MongoDB: {'user_id': 27, 'activity': 'logout', 'timestamp': '2025-01-07 09:45:48', '_id': ObjectId('677cf7ccb3cbcf303db42675')}
2025-01-07 11:45:50.612680 - INFO - Inserted to MongoDB: {'user_id': 71, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:50', '_id': ObjectId('677cf7ceb3cbcf303db42676')}
2025-01-07 11:45:52.640230 - INFO - Inserted to MongoDB: {'user_id': 53, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:52', '_id': ObjectId('677cf7d0b3cbcf303db42677')}
2025-01-07 11:45:54.674432 - INFO - Inserted to MongoDB: {'user_id': 75, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:54', '_id': ObjectId('677cf7d2b3cbcf303db42678')}
2025-01-07 11:45:56.698336 - INFO - Inserted to MongoDB: {'user_id': 44, 'activity': 'login', 'timestamp': '2025-01-07 09:45:56', '_id': ObjectId('677cf7d4b3cbcf303db42679')}
2025-01-07 11:45:58.736837 - INFO - Inserted to MongoDB: {'user_id': 37, 'activity': 'login', 'timestamp': '2025-01-07 09:45:58', '_id': ObjectId('677cf7d6b3cbcf303db4267a')}
2025-01-07 11:46:00.750900 - INFO - Inserted to MongoDB: {'user_id': 90, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:00', '_id': ObjectId('677cf7d8b3cbcf303db4267b')}
2025-01-07 11:46:02.771464 - INFO - Inserted to MongoDB: {'user_id': 1, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:46:02', '_id': ObjectId('677cf7dab3cbcf303db4267c')}
2025-01-07 11:46:04.857418 - INFO - Inserted to MongoDB: {'user_id': 9, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:46:04', '_id': ObjectId('677cf7dcb3cbcf303db4267d')}
2025-01-07 11:46:07.029754 - INFO - Inserted to MongoDB: {'user_id': 81, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:06', '_id': ObjectId('677cf7dfb3cbcf303db4267e')}
2025-01-07 11:46:10.079224 - INFO - Inserted to MongoDB: {'user_id': 95, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:09', '_id': ObjectId('677cf7e2b3cbcf303db4267f')}
2025-01-07 11:46:12.698767 - INFO - Inserted to MongoDB: {'user_id': 35, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:12', '_id': ObjectId('677cf7e4b3cbcf303db42680')}
2025-01-07 11:46:15.741236 - INFO - Inserted to MongoDB: {'user_id': 15, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:46:15', '_id': ObjectId('677cf7e7b3cbcf303db42681')}
2025-01-07 11:46:18.978674 - INFO - Inserted to MongoDB: {'user_id': 63, 'activity': 'view_item', 'timestamp': '2025-01-07 09:46:18', '_id': ObjectId('677cf7eab3cbcf303db42682')}
2025-01-07 11:46:21.742550 - INFO - Inserted to MongoDB: {'user_id': 26, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:21', '_id': ObjectId('677cf7edb3cbcf303db42683')}
2025-01-07 11:46:23.840127 - INFO - Inserted to MongoDB: {'user_id': 39, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:23', '_id': ObjectId('677cf7efb3cbcf303db42684')}
2025-01-07 11:46:26.197350 - INFO - Inserted to MongoDB: {'user_id': 86, 'activity': 'logout', 'timestamp': '2025-01-07 09:46:25', '_id': ObjectId('677cf7f2b3cbcf303db42685')}
2025-01-07 11:46:28.526305 - INFO - Inserted to MongoDB: {'user_id': 10, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:46:28', '_id': ObjectId('677cf7f4b3cbcf303db42686')}
2025-01-07 11:46:30.562494 - INFO - Inserted to MongoDB: {'user_id': 35, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:46:30', '_id': ObjectId('677cf7f6b3cbcf303db42687')}
2025-01-07 11:46:32.629695 - INFO - Inserted to MongoDB: {'user_id': 75, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:32', '_id': ObjectId('677cf7f8b3cbcf303db42688')}
2025-01-07 11:46:34.662623 - INFO - Inserted to MongoDB: {'user_id': 85, 'activity': 'login', 'timestamp': '2025-01-07 09:46:34', '_id': ObjectId('677cf7fab3cbcf303db42689')}
2025-01-07 11:46:36.683594 - INFO - Inserted to MongoDB: {'user_id': 14, 'activity': 'logout', 'timestamp': '2025-01-07 09:46:36', '_id': ObjectId('677cf7fcb3cbcf303db4268a')}
2025-01-07 11:46:38.767437 - INFO - Inserted to MongoDB: {'user_id': 39, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:46:38', '_id': ObjectId('677cf7feb3cbcf303db4268b')}
2025-01-07 11:46:40.890067 - INFO - Inserted to MongoDB: {'user_id': 97, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:46:40', '_id': ObjectId('677cf800b3cbcf303db4268c')}
2025-01-07 11:46:43.505556 - INFO - Inserted to MongoDB: {'user_id': 8, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:43', '_id': ObjectId('677cf803b3cbcf303db4268d')}
2025-01-07 11:46:45.668173 - INFO - Inserted to MongoDB: {'user_id': 18, 'activity': 'login', 'timestamp': '2025-01-07 09:46:45', '_id': ObjectId('677cf805b3cbcf303db4268e')}
2025-01-07 11:46:47.702824 - INFO - Inserted to MongoDB: {'user_id': 73, 'activity': 'login', 'timestamp': '2025-01-07 09:46:47', '_id': ObjectId('677cf807b3cbcf303db4268f')}
2025-01-07 11:46:49.724073 - INFO - Inserted to MongoDB: {'user_id': 23, 'activity': 'login', 'timestamp': '2025-01-07 09:46:49', '_id': ObjectId('677cf809b3cbcf303db42690')}
2025-01-07 11:46:51.757015 - INFO - Inserted to MongoDB: {'user_id': 50, 'activity': 'purchase', 'timestamp': '2025-01-07 09:46:51', '_id': ObjectId('677cf80bb3cbcf303db42691')}
2025-01-07 11:46:54.483545 - INFO - Inserted to MongoDB: {'user_id': 83, 'activity': 'logout', 'timestamp': '2025-01-07 09:46:54', '_id': ObjectId('677cf80eb3cbcf303db42692')}
2025-01-07 11:46:56.788383 - INFO - Inserted to MongoDB: {'user_id': 35, 'activity': 'view_item', 'timestamp': '2025-01-07 09:46:56', '_id': ObjectId('677cf810b3cbcf303db42693')}
2025-01-07 11:46:58.817271 - INFO - Inserted to MongoDB: {'user_id': 13, 'activity': 'logout', 'timestamp': '2025-01-07 09:46:58', '_id': ObjectId('677cf812b3cbcf303db42694')}
